Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,AGO,Net official development assistance and official aid received (current US$),-50000.0007450581,23549999.2370605,,29999.9993294477,,1110000.01430511,2859999.89509583,18180000.3051758,9999.99977648258,-109999.999403954,-29999.9993294477,,90000.0035762787,159999.996423721,370000.004768372,4760000.22888184,17479999.5422363,47500000,46869998.9318848,47060001.373291,52439998.626709,60220001.2207031,59069999.6948242,73879997.253418,93410003.6621094,90489997.8637695,130250000,134429992.675781,157029998.779297,167059997.558594,265769989.013672,277079986.572266,343589996.337891,289390014.648438,447070007.324219,416420013.427734,459309997.558594,354660003.662109,335269989.013672,387540008.544922,302209991.455078,282730010.986328,414029998.779297,493500000,1144569946.28906,414679992.675781,163520004.272461,259980010.986328,369040008.544922,238940002.441406,235169998.168945,192940002.441406,243610000.610352,285540008.544922,235389999.389648,380059997.558594,206529998.779297,223220001.220703,159449996.948242
Central African Republic,CAF,Net official development assistance and official aid received (current US$),29999.9993294477,419999.986886978,1139999.98569489,1980000.01907349,16790000.9155273,15779999.7329712,15659999.8474121,20569999.6948242,17290000.9155273,19809999.4659424,14380000.1144409,15550000.1907349,25649999.6185303,25600000.3814697,36580001.8310547,54750000,38689998.626709,44889999.3896484,50950000.7629395,83360000.6103516,110120002.746582,101199996.948242,89459999.0844727,92360000.6103516,131690002.441406,103849998.474121,135139999.389648,180009994.506836,204690002.441406,188759994.506836,248889999.389648,173440002.441406,177649993.896484,171740005.493164,167559997.558594,167779998.779297,169130004.882813,91550003.0517578,120620002.746582,118760002.13623,75900001.5258789,76209999.0844727,60009998.3215332,51500000,110059997.558594,88970001.2207031,133589996.337891,180009994.506836,260369995.117188,241139999.389648,260980010.986328,268769989.013672,228020004.272461,202820007.324219,611000000,486730010.986328,506609985.351563,511980010.986328,655659973.144531
Cote d'Ivoire,CIV,Net official development assistance and official aid received (current US$),129999.995231628,3369999.88555908,9000000,8649999.61853027,39009998.3215332,38619998.9318848,35950000.7629395,34020000.4577637,44840000.1525879,49659999.8474121,52580001.8310547,51069999.6948242,48279998.7792969,63319999.6948242,75620002.746582,99680000.3051758,107449996.948242,103949996.948242,129550003.051758,159919998.168945,209800003.051758,123050003.051758,136429992.675781,155320007.324219,122989997.86377,117360000.610352,174419998.168945,240479995.727539,424730010.986328,394559997.558594,686400024.414063,629900024.414063,755700012.207031,763630004.882813,1593699951.17188,1212439941.40625,964770019.53125,447000000,967270019.53125,447779998.779297,350920013.427734,186080001.831055,1067500000,253699996.948242,160710006.713867,91279998.7792969,247139999.389648,171080001.831055,584630004.882813,2403010009.76563,845309997.558594,1437709960.9375,2908350097.65625,1273459960.9375,925039978.027344,651669982.910156,615789978.027344,828919982.910156,953700012.207031
Algeria,DZA,Net official development assistance and official aid received (current US$),355049987.792969,437910003.662109,397630004.882813,281910003.662109,227839996.337891,146229995.727539,126919998.168945,107639999.389648,119610000.610352,131229995.727539,122209999.084473,120989997.86377,110300003.051758,125089996.337891,128330001.831055,235270004.272461,145369995.117188,129149993.896484,190289993.286133,110839996.337891,205160003.662109,167070007.324219,134699996.948242,93279998.7792969,120980003.356934,172149993.896484,167330001.831055,213449996.948242,171979995.727539,158210006.713867,331649993.896484,211169998.168945,374790008.544922,326309997.558594,295489990.234375,295739990.234375,306880004.882813,247889999.389648,419869995.117188,137979995.727539,199960006.713867,198860000.610352,186119995.117188,239240005.493164,316970001.220703,347380004.882813,240679992.675781,395010009.765625,324829986.572266,302390014.648438,201250000,193350006.103516,147320007.324219,203419998.168945,160619995.117188,71129997.253418,144550003.051758,174679992.675781,143979995.727539
"Egypt, Arab Rep.",EGY,Net official development assistance and official aid received (current US$),178410003.662109,117769996.643066,188039993.286133,207089996.337891,235300003.051758,122760002.13623,97239997.8637695,33000000,25700000.7629395,9899999.61853027,170940002.441406,138710006.713867,139940002.441406,886919982.910156,1376270019.53125,2513429931.64063,2432879882.8125,2639179931.64063,2697929931.64063,1572469970.70313,1383150024.41406,1297709960.9375,1457030029.29688,1456780029.29688,1768050048.82813,1774180053.71094,1669439941.40625,1723160034.17969,1496810058.59375,1644199951.17188,6065200195.3125,5408839843.75,3737699951.17188,2485229980.46875,2692199951.17188,2028069946.28906,2193899902.34375,2009459960.9375,1974140014.64844,1620250000,1370829956.05469,1300390014.64844,1308729980.46875,1017179992.67578,1502839965.82031,1046310058.59375,909030029.296875,1138689941.40625,1688530029.29688,982739990.234375,599159973.144531,423730010.986328,1813430053.71094,5512509765.625,3537600097.65625,2524530029.29688,2437350097.65625,32840000.1525879,2063739990.23438
Kenya,KEN,Net official development assistance and official aid received (current US$),21110000.6103516,63229999.5422363,49119998.9318848,55590000.1525879,56709999.0844727,72129997.253418,55409999.8474121,36709999.0844727,60709999.0844727,55810001.373291,57349998.4741211,66849998.4741211,71860000.6103516,94970001.2207031,116580001.831055,124819999.694824,154600006.103516,160759994.506836,245610000.610352,348339996.337891,394790008.544922,448149993.896484,484600006.103516,396100006.103516,408429992.675781,426660003.662109,442959991.455078,557219970.703125,832030029.296875,1059699951.17188,1181290039.0625,916460021.972656,884919982.910156,915630004.882813,677869995.117188,733090026.855469,596260009.765625,448649993.896484,415260009.765625,311250000,513919982.910156,472410003.662109,388220001.220703,522900024.414063,655929992.675781,756570007.324219,941650024.414063,1329359985.35156,1363400024.41406,1782479980.46875,1631260009.76563,2478820068.35938,2653659912.10938,3306840087.89063,2661030029.29688,2463520019.53125,2188389892.57813,2480219970.70313,2488389892.57813
Morocco,MAR,Net official development assistance and official aid received (current US$),59799999.2370605,111330001.831055,79790000.9155273,94510002.1362305,101379997.253418,106610000.610352,98209999.0844727,62209999.0844727,92690002.4414063,77629997.253418,85559997.5585938,132520004.272461,101449996.948242,94160003.6621094,114750000,270109985.351563,251509994.506836,605690002.441406,428859985.351563,537380004.882813,1160839965.82031,1044099975.58594,850539978.027344,446779998.779297,339769989.013672,865859985.351563,427779998.779297,425790008.544922,483260009.765625,499119995.117188,1241089965.82031,1532670043.94531,953599975.585938,780000000,683520019.53125,500559997.558594,649590026.855469,471559997.558594,531210021.972656,681940002.441406,447380004.882813,493850006.103516,364390014.648438,584390014.648438,780599975.585938,732640014.648438,1101530029.29688,1219229980.46875,1453359985.35156,1045959960.9375,985500000,1440239990.23438,1471140014.64844,2008650024.41406,2240149902.34375,1518280029.29688,2062310058.59375,2416270019.53125,811650024.414063
Mauritius,MUS,Net official development assistance and official aid received (current US$),529999.971389771,5500000,4289999.96185303,5809999.94277954,2150000.09536743,2190000.05722046,4380000.11444092,5179999.82833862,9640000.34332275,5400000.09536743,6010000.22888184,9239999.77111816,10560000.4196167,13720000.2670288,24969999.3133545,28420000.0762939,17030000.6866455,22360000.6103516,43779998.7792969,32040000.9155273,33090000.1525879,58279998.7792969,47709999.0844727,40139999.3896484,33409999.8474121,26639999.3896484,54020000.4577637,62599998.4741211,57310001.373291,60340000.1525879,88290000.9155273,67319999.6948242,45689998.626709,26739999.7711182,14840000.1525879,23819999.6948242,20329999.9237061,42060001.373291,40409999.8474121,41819999.6948242,20750000,21280000.6866455,23850000.3814697,-14520000.4577637,32799999.2370605,34400001.5258789,19129999.1607666,69209999.0844727,108680000.305176,156029998.779297,124589996.337891,185690002.441406,176679992.675781,145740005.493164,44590000.1525879,78419998.1689453,42340000.1525879,11649999.6185303,66699996.9482422
Nigeria,NGA,Net official development assistance and official aid received (current US$),32639999.3896484,30389999.3896484,30979999.5422363,20719999.3133545,44970001.2207031,75309997.5585938,68360000.6103516,72800003.0517578,68800003.0517578,85110000.6103516,107540000.915527,107110000.610352,83000000,76379997.253418,72610000.6103516,81379997.253418,51819999.6948242,42009998.3215332,40150001.5258789,25739999.7711182,34400001.5258789,39250000,34950000.7629395,46750000,32389999.3896484,31709999.0844727,58119998.9318848,67620002.746582,118080001.831055,344000000,255080001.831055,258320007.324219,258820007.324219,288420013.427734,189660003.662109,210960006.713867,188750000,199839996.337891,203339996.337891,151990005.493164,173800003.051758,167820007.324219,299549987.792969,309850006.103516,578770019.53125,6401790039.0625,11431959960.9375,1958599975.58594,1293719970.70313,1639229980.46875,2052360107.42188,1809859985.35156,1916170043.94531,2515719970.70313,2478600097.65625,2431540039.0625,2498189941.40625,3358959960.9375,3301520019.53125
Tunisia,TUN,Net official development assistance and official aid received (current US$),51830001.8310547,93819999.6948242,70110000.6103516,83559997.5585938,71069999.6948242,90919998.1689453,82839996.3378906,89519996.6430664,71860000.6103516,115730003.356934,112849998.474121,106430000.305176,113349998.474121,134039993.286133,174210006.713867,214270004.272461,217860000.610352,247080001.831055,310500000,209850006.103516,240479995.727539,242860000.610352,207330001.831055,202759994.506836,176100006.103516,160419998.168945,220259994.506836,274260009.765625,314829986.572266,279890014.648438,392540008.544922,354459991.455078,387989990.234375,243199996.948242,105790000.915527,75389999.3896484,126860000.610352,195220001.220703,150960006.713867,253429992.675781,222839996.337891,366220001.220703,217350006.103516,301670013.427734,333690002.441406,368350006.103516,436850006.103516,326489990.234375,378760009.765625,493690002.441406,550150024.414063,925229980.46875,1022130004.88281,714659973.144531,922700012.207031,495869995.117188,646820007.324219,811640014.648438,805270019.53125
South Africa,ZAF,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270450012.207031,293079986.572266,386170013.427734,362339996.337891,495589996.337891,515640014.648438,543270019.53125,490010009.765625,428880004.882813,506959991.455078,642150024.414063,631609985.351563,681229980.46875,723239990.234375,795119995.117188,1114910034.17969,1074180053.71094,1036270019.53125,1396969970.70313,1065829956.05469,1295339965.82031,1077400024.41406,1420270019.53125,1180280029.29688,1014809997.55859,914809997.558594
Zambia,ZMB,Net official development assistance and official aid received (current US$),920000.016689301,910000.026226044,5880000.11444092,5380000.11444092,20989999.7711182,10859999.6566772,29190000.5340576,61029998.7792969,30299999.2370605,20250000,13239999.7711182,21389999.3896484,21520000.4577637,44909999.8474121,57099998.4741211,86199996.9482422,61610000.6103516,107989997.86377,183990005.493164,276709991.455078,317209991.455078,230800003.051758,315489990.234375,214990005.493164,235729995.727539,319290008.544922,451309997.558594,422369995.117188,474779998.779297,366720001.220703,474809997.558594,877969970.703125,1030780029.29688,866919982.910156,715130004.882813,2030670043.94531,608059997.558594,609690002.441406,348149993.896484,623210021.972656,794650024.414063,570840026.855469,810729980.46875,770450012.207031,1128449951.17188,1169050048.82813,1470270019.53125,1022489990.23438,1114699951.17188,1270819946.28906,919320007.324219,1033469970.70313,957140014.648438,1145250000,997729980.46875,797140014.648438,966400024.414063,1040489990.23438,991869995.117188
Zimbabwe,ZWE,Net official development assistance and official aid received (current US$),,9999.99977648258,,10859999.6566772,4570000.17166138,3720000.02861023,400000.005960464,379999.995231628,2099999.90463257,649999.976158142,589999.973773956,649999.976158142,829999.983310699,850000.023841858,1580000.04291534,4030000.20980835,6269999.98092651,6690000.05722046,9220000.26702881,12489999.7711182,160639999.389648,174669998.168945,213380004.882813,207449996.948242,296799987.792969,235300003.051758,222940002.441406,291179992.675781,270160003.662109,260910003.662109,334260009.765625,388679992.675781,790179992.675781,499309997.558594,561380004.882813,491500000,371760009.765625,336640014.648438,261339996.337891,244630004.882813,175639999.389648,160210006.713867,199130004.882813,186919998.168945,187300003.051758,372940002.441406,278239990.234375,477459991.455078,612750000,736549987.792969,712530029.296875,722580017.089844,1001590026.85547,827539978.027344,760570007.324219,788289978.027344,654250000,725840026.855469,793609985.351563